year,address,lat,lng,workers
2016,"St Paul, OR 97137, USA",45.2112295,-122.9767662,27
2016,"The Dalles, OR, United States",45.6015510559082,-121.183433532715,13
2016,"Westfall, OR 97920, USA",43.9918247,-117.70907620000001,2
2017,"Baker City, OR 97814, USA",44.7748748,-117.8343848,1
2017,"Boring, OR, United States",45.43246841430661,-122.372177124023,16
2017,"Brownsville, OR 97327, USA",44.3934571,-122.9848108,1
2017,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,3
2017,"Carlton, OR, USA",45.29428220000001,-123.17649490000001,2
2017,"Christmas Valley, OR, USA",43.237797,-120.6708853,4
2017,"Fort Rock, OR 97735, USA",43.3567987,-121.0548451,2
2017,"Independence, OR, United States",44.85115814208979,-123.18688201904301,88
2017,"Ione, OR, United States",45.500980377197294,-119.828903198242,6
2017,"Madras, OR 97741, USA",44.6334544,-121.1294872,45
2017,"Madras, OR, United States",44.6335296630859,-121.130096435547,1
2017,"Milton-Freewater, OR 97862, USA",45.9326346,-118.3877435,1
2017,"Mosier, OR, United States",45.683650970459006,-121.397758483887,27
2017,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,3
2017,"North Powder, OR, United States",45.02865982055661,-117.91931915283199,1
2017,"Nyssa, OR, United States",43.876800537109396,-116.995658874512,8
2017,"Oregon City, OR, United States",45.33650970458979,-122.592727661133,40
2017,"Parkdale, OR 97041, USA",45.5198391,-121.59674170000001,12
2017,"Pilot Rock, OR, USA",45.4831849,-118.8299848,2
2017,"Pilot Rock, OR, United States",45.48371887207029,-118.83300018310499,2
2017,"Prineville, OR, United States",44.302921295165994,-120.84375762939501,1
2017,"Seneca, OR, United States",44.1339302062988,-118.96990966796899,1
2017,"St Paul, OR, United States",45.21081161499021,-122.976791381836,18
2017,"The Dalles, OR, United States",45.6015510559082,-121.183433532715,27
2018,"Albany, OR, USA",44.6365107,-123.10592820000001,40
2018,"Aurora, OR 97002, USA",45.2309536,-122.7559267,25
2018,"Baker City, OR 97814, USA",44.7748748,-117.8343848,1
2018,"Boring, OR, United States",45.43246841430661,-122.372177124023,426
2018,"Brownsville, OR 97327, USA",44.3934571,-122.9848108,3
2018,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,6
2018,"Carlton, OR, USA",45.29428220000001,-123.17649490000001,6
2018,"Christmas Valley, OR, USA",43.237797,-120.6708853,5
2018,"Damascus, OR, USA",45.417620899999996,-122.45897830000001,84
2018,"Fort Rock, OR 97735, USA",43.3567987,-121.0548451,2
2018,"Hermiston, OR, United States",45.840511322021506,-119.28946685791,120
2018,"Hood River, OR, United States",45.7088508605957,-121.510726928711,145
2018,"Independence, OR, United States",44.85115814208979,-123.18688201904301,90
2018,"Ione, OR 97843, USA",45.5012431,-119.82475079999999,4
2018,"Ione, OR, United States",45.500980377197294,-119.828903198242,8
2018,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,1
2018,"Madras, OR 97741, USA",44.6334544,-121.1294872,81
2018,"Madras, OR, United States",44.6335296630859,-121.130096435547,5
2018,"Medford, OR, United States",42.323558807373,-122.875610351563,408
2018,"Milton-Freewater, OR 97862, USA",45.9326346,-118.3877435,4
2018,"Mosier, OR, United States",45.683650970459006,-121.397758483887,99
2018,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,4
2018,"Nyssa, OR, United States",43.876800537109396,-116.995658874512,40
2018,"Oregon City, OR, United States",45.33650970458979,-122.592727661133,68
2018,"Parkdale, OR 97041, USA",45.5198391,-121.59674170000001,78
2018,"Pilot Rock, OR, USA",45.4831849,-118.8299848,8
2018,"Portland, OR, United States",45.511791229248,-122.67562866210899,25
2018,"Salem, OR, United States",44.9332618713379,-123.043807983398,18
2018,"Seneca, OR, United States",44.1339302062988,-118.96990966796899,5
2018,"St Paul, OR 97137, USA",45.2112295,-122.9767662,10
2018,"The Dalles, OR, United States",45.6015510559082,-121.183433532715,32
2018,"Westfall, OR, United States",43.9925689697266,-117.711601257324,1
2019,"Albany, OR, USA",44.6365107,-123.10592820000001,32
2019,"Aurora, OR 97002, USA",45.2309536,-122.7559267,23
2019,"Baker City, OR 97814, USA",44.7748748,-117.8343848,1
2019,"Boring, OR, United States",45.43246841430661,-122.372177124023,262
2019,"Brownsville, OR 97327, USA",44.3934571,-122.9848108,1
2019,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,4
2019,"Carlton, OR, USA",45.29428220000001,-123.17649490000001,6
2019,"Christmas Valley, OR, USA",43.237797,-120.6708853,6
2019,"Fort Rock, OR 97735, USA",43.3567987,-121.0548451,2
2019,"Hermiston, OR, United States",45.840511322021506,-119.28946685791,15
2019,"Hood River, OR, United States",45.7088508605957,-121.510726928711,26
2019,"Ione, OR 97843, USA",45.5012431,-119.82475079999999,4
2019,"Ione, OR, United States",45.500980377197294,-119.828903198242,7
2019,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,1
2019,"Madras, OR 97741, USA",44.6334544,-121.1294872,55
2019,"Madras, OR, United States",44.6335296630859,-121.130096435547,2
2019,"Medford, OR, United States",42.323558807373,-122.875610351563,116
2019,"Milton-Freewater, OR 97862, USA",45.9326346,-118.3877435,3
2019,"Mosier, OR, United States",45.683650970459006,-121.397758483887,125
2019,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,4
2019,"Nyssa, OR, United States",43.876800537109396,-116.995658874512,42
2019,"Oregon City, OR, United States",45.33650970458979,-122.592727661133,59
2019,"Parkdale, OR 97041, USA",45.5198391,-121.59674170000001,92
2019,"Pilot Rock, OR, USA",45.4831849,-118.8299848,4
2019,"Portland, OR, United States",45.511791229248,-122.67562866210899,26
2019,"Salem, OR, United States",44.9332618713379,-123.043807983398,20
2019,"Seneca, OR, United States",44.1339302062988,-118.96990966796899,1
2019,"St Paul, OR 97137, USA",45.2112295,-122.9767662,99
2019,"The Dalles, OR, United States",45.6015510559082,-121.183433532715,23
2019,"Westfall, OR, United States",43.9925689697266,-117.711601257324,2
